Tanggal,% Vaksinasi 1 dari Target,Vaksin 1 Kumulatif,Vaksin 1 Bulanan,%Vaksinasi 2 dari Target,Vaksin 2 Kumulatif,Vaksin 2 Bulanan,%Vaksinasi 3 dari Target,Vaksin 3 Kumulatif,Vaksin 3 Bulanan,%Vaksinasi 4 dari Target,Vaksin 4 Kumulatif,Vaksin 4 Bulanan
1/31/2021,0.25,586665,586665,0,0,0,0,0,0,0,0,0
2/28/2021,0.82,1924261,1337596,0.47,1102930,1384530,0,0,0,0,0,0
3/31/2021,1.7,3989322,2065061,1.7,3989322,2041594,0,0,0,0,0,0
4/30/2021,5.47,12836231,8846909,3.41,8002111,4012789,0,0,0,0,0,0
5/31/2021,7.32,17177553,4341321,4.77,11193569,3191458,0,0,0,0,0,0
6/30/2021,13.29,31187114,14009561,6.06,14220761,3027192,0,0,0,0,0,0
7/31/2021,21.01,49303331,18116217,9.33,21894340,7673579,0.01,23467,23467,0,0,0
8/31/2021,27.91,65495286,16191955,16.07,37710829,15816490,0.42,985597,962131,0,0,0
9/30/2021,40.56,95180538,29685252,22.95,53855852,16145022,0.6,1407996,422399,0,0,0
10/31/2021,52.51,123223127,28042589,32.73,76806188,22950337,0.74,1736529,328532,0,0,0
11/30/2021,61.03,143216672,19993545,42.45,99615725,22809537,0.85,1994661,258133,0,0,0
12/31/2021,71.85,168607535,25390863,50.06,117473810,17858084,1,2346660,351999,0,0,0
1/31/2022,80.2,188202148,19594613,56.38,132304702,14830892,2.98,6993047,4646387,0.01,23467,23467
2/28/2022,82.63,193904532,5702384,63.7,149482255,17177553,6.83,16027689,9034642,0.01,27077,3610
3/31/2022,84.53,198363187,4458654,69.35,162740885,13258630,13.79,32360444,16332755,0.01,31074,3997
4/30/2022,85.4,200404781,2041594,71.6,168020870,5279985,23.13,54278250,21917806,0.01,34942,3868
5/31/2022,85.76,201249579,844798,72.35,169780865,1759995,25.89,60755033,6476782,0.01,38939,3997
6/30/2022,86.08,202000510,750931,73.01,171329661,1548796,28.54,66973682,6218650,0.01,42807,3868
7/31/2022,86.32,202563708,563198,73.46,172385658,1055997,31.4,73685130,6711448,0.01,46804,3997
8/31/2022,86.55,203103440,539732,73.85,173300856,915197,33.78,79270182,5585051,0.24,563198,516394
9/30/2022,86.69,203431973,328532,74.13,173957921,657065,35.2,82602439,3332257,0.37,868264,305066
10/31/2022,86.72,203502373,70400,74.21,174145653,187733,35.67,83705369,1102930,0.4,938664,70400
11/30/2022,86.77,203619706,117333,74.34,174450719,305066,36.46,85559231,1853862,0.51,1196797,258133
12/31/2022,86.81,203713572,93866,74.42,174638452,187733,37.13,87131493,1572262,0.7,1642662,445865
1/31/2023,86.84,203783972,70400,74.47,174755785,117333,37.44,87858958,727465,0.82,1924261,281599
2/28/2023,86.85,203807438,23467,74.51,174849652,93866,37.73,88539489,680531,1.55,3637323,1713062
3/31/2023,86.86,203830905,23467,74.51,174861369,11718,37.82,88750689,211199,1.71,4012789,375466
